"Site.Name","Date","COUNTY","meanlat","meanlong","year","month","PM2.5","Ozone"
"Bryson City",2020-04-12,"Swain",35.434767,-83.442133,2020,4,39,49
"Bryson City",2020-04-13,"Swain",35.434767,-83.442133,2020,4,50,50.5
"Bryson City",2020-04-14,"Swain",35.434767,-83.442133,2020,4,38.5,43
"Bryson City",2020-04-15,"Swain",35.434767,-83.442133,2020,4,22,41
"Bryson City",2020-04-16,"Swain",35.434767,-83.442133,2020,4,17.5,43.5
"Bryson City",2020-04-17,"Swain",35.434767,-83.442133,2020,4,26.5,52.5
"Bryson City",2020-04-18,"Swain",35.434767,-83.442133,2020,4,37.5,52.5
"Bryson City",2020-04-19,"Swain",35.434767,-83.442133,2020,4,22.5,39.5
"Bryson City",2020-04-20,"Swain",35.434767,-83.442133,2020,4,12.5,40.5
"Bryson City",2020-04-21,"Swain",35.434767,-83.442133,2020,4,23.5,58
"Bryson City",2020-04-22,"Swain",35.434767,-83.442133,2020,4,27,42
"Bryson City",2020-04-23,"Swain",35.434767,-83.442133,2020,4,21,44
"Bryson City",2020-04-24,"Swain",35.434767,-83.442133,2020,4,22,39
"Bryson City",2020-04-25,"Swain",35.434767,-83.442133,2020,4,22,39.5
"Bryson City",2020-04-26,"Swain",35.434767,-83.442133,2020,4,17.5,39.5
"Bryson City",2020-04-27,"Swain",35.434767,-83.442133,2020,4,23.5,56
"Bryson City",2020-04-28,"Swain",35.434767,-83.442133,2020,4,33,61
"Bryson City",2020-04-29,"Swain",35.434767,-83.442133,2020,4,31.5,49
"Bryson City",2020-04-30,"Swain",35.434767,-83.442133,2020,4,35.5,47.5
"Bryson City",2020-05-01,"Swain",35.434767,-83.442133,2020,5,35,54.5
"Bryson City",2020-05-02,"Swain",35.434767,-83.442133,2020,5,39.5,44
"Bryson City",2020-05-03,"Swain",35.434767,-83.442133,2020,5,40.5,37.5
"Bryson City",2020-05-04,"Swain",35.434767,-83.442133,2020,5,37.5,33.5
"Bryson City",2020-05-05,"Swain",35.434767,-83.442133,2020,5,34.5,32.5
"Bryson City",2020-05-06,"Swain",35.434767,-83.442133,2020,5,19.5,46
"Bryson City",2020-05-07,"Swain",35.434767,-83.442133,2020,5,29.5,42
"Bryson City",2020-05-08,"Swain",35.434767,-83.442133,2020,5,29,46
"Bryson City",2020-05-09,"Swain",35.434767,-83.442133,2020,5,32,42
"Bryson City",2020-05-10,"Swain",35.434767,-83.442133,2020,5,36.5,40.5
"Bryson City",2020-05-11,"Swain",35.434767,-83.442133,2020,5,29,34.5
"Bryson City",2020-05-12,"Swain",35.434767,-83.442133,2020,5,29.5,40
"Bryson City",2020-05-13,"Swain",35.434767,-83.442133,2020,5,32,41
"Bryson City",2020-05-14,"Swain",35.434767,-83.442133,2020,5,36,42.5
"Bryson City",2020-05-15,"Swain",35.434767,-83.442133,2020,5,39.5,32.5
"Bryson City",2020-05-16,"Swain",35.434767,-83.442133,2020,5,27.5,36
"Bryson City",2020-05-17,"Swain",35.434767,-83.442133,2020,5,32,33
"Bryson City",2020-05-18,"Swain",35.434767,-83.442133,2020,5,38,37.5
"Bryson City",2020-05-19,"Swain",35.434767,-83.442133,2020,5,44.5,43
"Bryson City",2020-05-20,"Swain",35.434767,-83.442133,2020,5,40.5,38.5
"Bryson City",2020-05-21,"Swain",35.434767,-83.442133,2020,5,26.5,36.5
"Bryson City",2020-05-22,"Swain",35.434767,-83.442133,2020,5,32.5,35
"Bryson City",2020-05-23,"Swain",35.434767,-83.442133,2020,5,33.5,37
"Bryson City",2020-05-24,"Swain",35.434767,-83.442133,2020,5,33,39
"Bryson City",2020-05-25,"Swain",35.434767,-83.442133,2020,5,15,33
"Bryson City",2020-05-26,"Swain",35.434767,-83.442133,2020,5,10,36
"Bryson City",2020-05-27,"Swain",35.434767,-83.442133,2020,5,NA,32.5
"Bryson City",2020-05-28,"Swain",35.434767,-83.442133,2020,5,30,24.5
"Bryson City",2020-05-29,"Swain",35.434767,-83.442133,2020,5,48,30.5
"Bryson City",2020-05-30,"Swain",35.434767,-83.442133,2020,5,28,37
"Bryson City",2020-05-31,"Swain",35.434767,-83.442133,2020,5,26,39
"Bryson City",2020-06-01,"Swain",35.434767,-83.442133,2020,6,31.5,47
"Bryson City",2020-06-02,"Swain",35.434767,-83.442133,2020,6,38.5,45
"Bryson City",2020-06-03,"Swain",35.434767,-83.442133,2020,6,43,24.5
"Bryson City",2020-06-04,"Swain",35.434767,-83.442133,2020,6,40.5,54
"Bryson City",2020-06-05,"Swain",35.434767,-83.442133,2020,6,43,38.5
"Bryson City",2020-06-06,"Swain",35.434767,-83.442133,2020,6,34.5,41
"Bryson City",2020-06-07,"Swain",35.434767,-83.442133,2020,6,27,42.5
"Bryson City",2020-06-08,"Swain",35.434767,-83.442133,2020,6,19,36
"Bryson City",2020-06-09,"Swain",35.434767,-83.442133,2020,6,10,33
"Bryson City",2020-06-10,"Swain",35.434767,-83.442133,2020,6,18,33.5
"Bryson City",2020-06-11,"Swain",35.434767,-83.442133,2020,6,22,39.5
"Bryson City",2020-06-12,"Swain",35.434767,-83.442133,2020,6,31,34.5
"Bryson City",2020-06-13,"Swain",35.434767,-83.442133,2020,6,27,36.5
"Bryson City",2020-06-14,"Swain",35.434767,-83.442133,2020,6,27,40.5
"Bryson City",2020-06-15,"Swain",35.434767,-83.442133,2020,6,43,45
"Bryson City",2020-06-16,"Swain",35.434767,-83.442133,2020,6,50,38
"Bryson City",2020-06-17,"Swain",35.434767,-83.442133,2020,6,28,34
"Bryson City",2020-06-18,"Swain",35.434767,-83.442133,2020,6,8,27.5
"Bryson City",2020-06-19,"Swain",35.434767,-83.442133,2020,6,12,31.5
"Bryson City",2020-06-20,"Swain",35.434767,-83.442133,2020,6,NA,34.5
"Bryson City",2020-06-21,"Swain",35.434767,-83.442133,2020,6,NA,29
"Bryson City",2020-06-22,"Swain",35.434767,-83.442133,2020,6,21.5,31
"Bryson City",2020-06-23,"Swain",35.434767,-83.442133,2020,6,23.5,31.5
"Bryson City",2020-06-24,"Swain",35.434767,-83.442133,2020,6,33,23.5
"Bryson City",2020-06-25,"Swain",35.434767,-83.442133,2020,6,21.5,32.5
"Bryson City",2020-06-26,"Swain",35.434767,-83.442133,2020,6,23,27.5
"Bryson City",2020-06-27,"Swain",35.434767,-83.442133,2020,6,23,33.5
"Bryson City",2020-06-28,"Swain",35.434767,-83.442133,2020,6,NA,34.5
"Bryson City",2020-06-29,"Swain",35.434767,-83.442133,2020,6,NA,38
"Bryson City",2020-06-30,"Swain",35.434767,-83.442133,2020,6,NA,39
"Bryson City",2020-07-01,"Swain",35.434767,-83.442133,2020,7,45,34.5
"Bryson City",2020-07-02,"Swain",35.434767,-83.442133,2020,7,32,34
"Bryson City",2020-07-03,"Swain",35.434767,-83.442133,2020,7,27,32.5
"Bryson City",2020-07-04,"Swain",35.434767,-83.442133,2020,7,43,36.5
"Bryson City",2020-07-05,"Swain",35.434767,-83.442133,2020,7,38,28
"Bryson City",2020-07-06,"Swain",35.434767,-83.442133,2020,7,30,27
"Bryson City",2020-07-07,"Swain",35.434767,-83.442133,2020,7,35,27
"Bryson City",2020-07-08,"Swain",35.434767,-83.442133,2020,7,30.5,31
"Bryson City",2020-07-09,"Swain",35.434767,-83.442133,2020,7,33.5,36
"Bryson City",2020-07-10,"Swain",35.434767,-83.442133,2020,7,36,36
"Bryson City",2020-07-11,"Swain",35.434767,-83.442133,2020,7,32.5,33.5
"Bryson City",2020-07-12,"Swain",35.434767,-83.442133,2020,7,35,31
"Bryson City",2020-07-13,"Swain",35.434767,-83.442133,2020,7,28.5,28
"Bryson City",2020-07-14,"Swain",35.434767,-83.442133,2020,7,29.5,30.5
"Bryson City",2020-07-15,"Swain",35.434767,-83.442133,2020,7,30.5,27.5
"Bryson City",2020-07-16,"Swain",35.434767,-83.442133,2020,7,38.5,25.5
"Bryson City",2020-07-17,"Swain",35.434767,-83.442133,2020,7,30.5,11.5
"Bryson City",2020-07-18,"Swain",35.434767,-83.442133,2020,7,29,35
"Bryson City",2020-07-19,"Swain",35.434767,-83.442133,2020,7,32,32.5
"Bryson City",2020-07-20,"Swain",35.434767,-83.442133,2020,7,33,33
"Bryson City",2020-07-21,"Swain",35.434767,-83.442133,2020,7,27,34
"Bryson City",2020-07-22,"Swain",35.434767,-83.442133,2020,7,25.5,30
"Bryson City",2020-07-23,"Swain",35.434767,-83.442133,2020,7,18.5,34
"Bryson City",2020-07-24,"Swain",35.434767,-83.442133,2020,7,27,34.5
"Bryson City",2020-07-25,"Swain",35.434767,-83.442133,2020,7,31.5,36.5
"Bryson City",2020-07-26,"Swain",35.434767,-83.442133,2020,7,43,41
"Bryson City",2020-07-27,"Swain",35.434767,-83.442133,2020,7,49,41
"Bryson City",2020-07-28,"Swain",35.434767,-83.442133,2020,7,43.5,38
"Bryson City",2020-07-29,"Swain",35.434767,-83.442133,2020,7,40,38
"Bryson City",2020-07-30,"Swain",35.434767,-83.442133,2020,7,46,37.5
"Bryson City",2020-07-31,"Swain",35.434767,-83.442133,2020,7,37,33
"Bryson City",2020-08-01,"Swain",35.434767,-83.442133,2020,8,30,32.5
"Bryson City",2020-08-02,"Swain",35.434767,-83.442133,2020,8,7,27
"Bryson City",2020-08-03,"Swain",35.434767,-83.442133,2020,8,10,28
"Bryson City",2020-08-04,"Swain",35.434767,-83.442133,2020,8,15,27.5
"Bryson City",2020-08-05,"Swain",35.434767,-83.442133,2020,8,25,30
"Bryson City",2020-08-06,"Swain",35.434767,-83.442133,2020,8,32.5,29.5
"Bryson City",2020-08-07,"Swain",35.434767,-83.442133,2020,8,35,34
"Bryson City",2020-08-08,"Swain",35.434767,-83.442133,2020,8,33,31
"Bryson City",2020-08-09,"Swain",35.434767,-83.442133,2020,8,29.5,35.5
"Bryson City",2020-08-10,"Swain",35.434767,-83.442133,2020,8,30,30
"Bryson City",2020-08-11,"Swain",35.434767,-83.442133,2020,8,24,32
"Bryson City",2020-08-12,"Swain",35.434767,-83.442133,2020,8,41,36
"Bryson City",2020-08-13,"Swain",35.434767,-83.442133,2020,8,45,33.5
"Bryson City",2020-08-14,"Swain",35.434767,-83.442133,2020,8,36.5,33
"Bryson City",2020-08-15,"Swain",35.434767,-83.442133,2020,8,44.5,35
"Bryson City",2020-08-16,"Swain",35.434767,-83.442133,2020,8,46.5,38
"Bryson City",2020-08-17,"Swain",35.434767,-83.442133,2020,8,44,31.5
"Bryson City",2020-08-18,"Swain",35.434767,-83.442133,2020,8,35,31.5
"Bryson City",2020-08-19,"Swain",35.434767,-83.442133,2020,8,32,31.5
"Bryson City",2020-08-20,"Swain",35.434767,-83.442133,2020,8,33,31
"Bryson City",2020-08-21,"Swain",35.434767,-83.442133,2020,8,41,33.5
"Bryson City",2020-08-22,"Swain",35.434767,-83.442133,2020,8,37.5,31
"Bryson City",2020-08-23,"Swain",35.434767,-83.442133,2020,8,40,32.5
"Bryson City",2020-08-24,"Swain",35.434767,-83.442133,2020,8,33,31
"Bryson City",2020-08-25,"Swain",35.434767,-83.442133,2020,8,23,29.5
"Bryson City",2020-08-26,"Swain",35.434767,-83.442133,2020,8,28,27.5
"Bryson City",2020-08-27,"Swain",35.434767,-83.442133,2020,8,17,24.5
"Bryson City",2020-08-28,"Swain",35.434767,-83.442133,2020,8,23,37.5
"Bryson City",2020-08-29,"Swain",35.434767,-83.442133,2020,8,35.5,35.5
"Bryson City",2020-08-30,"Swain",35.434767,-83.442133,2020,8,26.5,29.5
"Bryson City",2020-08-31,"Swain",35.434767,-83.442133,2020,8,29.5,32.5
"Bryson City",2020-09-01,"Swain",35.434767,-83.442133,2020,9,29,33.5
"Bryson City",2020-09-02,"Swain",35.434767,-83.442133,2020,9,28,29
"Bryson City",2020-09-03,"Swain",35.434767,-83.442133,2020,9,18,29
"Bryson City",2020-09-04,"Swain",35.434767,-83.442133,2020,9,32.5,29.5
"Bryson City",2020-09-05,"Swain",35.434767,-83.442133,2020,9,38,33
"Bryson City",2020-09-06,"Swain",35.434767,-83.442133,2020,9,34.5,31.5
"Bryson City",2020-09-07,"Swain",35.434767,-83.442133,2020,9,33.5,36.5
"Bryson City",2020-09-08,"Swain",35.434767,-83.442133,2020,9,33,32
"Bryson City",2020-09-09,"Swain",35.434767,-83.442133,2020,9,26.5,27.5
"Bryson City",2020-09-10,"Swain",35.434767,-83.442133,2020,9,30.5,31.5
"Bryson City",2020-09-11,"Swain",35.434767,-83.442133,2020,9,31,31
"Bryson City",2020-09-12,"Swain",35.434767,-83.442133,2020,9,35.5,28
"Bryson City",2020-09-13,"Swain",35.434767,-83.442133,2020,9,38,29
"Bryson City",2020-09-14,"Swain",35.434767,-83.442133,2020,9,29.5,28.5
"Bryson City",2020-09-15,"Swain",35.434767,-83.442133,2020,9,27,26.5
"Bryson City",2020-09-16,"Swain",35.434767,-83.442133,2020,9,18,25.5
"Bryson City",2020-09-17,"Swain",35.434767,-83.442133,2020,9,26.5,32
"Bryson City",2020-09-18,"Swain",35.434767,-83.442133,2020,9,34.5,31
"Bryson City",2020-09-19,"Swain",35.434767,-83.442133,2020,9,34.5,32.5
"Bryson City",2020-09-20,"Swain",35.434767,-83.442133,2020,9,42.5,36
"Bryson City",2020-09-21,"Swain",35.434767,-83.442133,2020,9,43.5,34
"Bryson City",2020-09-22,"Swain",35.434767,-83.442133,2020,9,44,35
"Bryson City",2020-09-23,"Swain",35.434767,-83.442133,2020,9,40.5,31.5
"Bryson City",2020-09-24,"Swain",35.434767,-83.442133,2020,9,31.5,32.5
"Bryson City",2020-09-25,"Swain",35.434767,-83.442133,2020,9,25.5,30
"Bryson City",2020-09-26,"Swain",35.434767,-83.442133,2020,9,24,26
"Bryson City",2020-09-27,"Swain",35.434767,-83.442133,2020,9,22.5,22.5
"Bryson City",2020-09-28,"Swain",35.434767,-83.442133,2020,9,29,29.5
"Bryson City",2020-09-29,"Swain",35.434767,-83.442133,2020,9,29.5,31.5
"Bryson City",2020-09-30,"Swain",35.434767,-83.442133,2020,9,29.5,27
"Bryson City",2020-10-01,"Swain",35.434767,-83.442133,2020,10,38,29
"Bryson City",2020-10-02,"Swain",35.434767,-83.442133,2020,10,39,36.5
"Bryson City",2020-10-03,"Swain",35.434767,-83.442133,2020,10,36,33.5
"Bryson City",2020-10-04,"Swain",35.434767,-83.442133,2020,10,30.5,36
"Bryson City",2020-10-05,"Swain",35.434767,-83.442133,2020,10,26.5,28.5
"Bryson City",2020-10-06,"Swain",35.434767,-83.442133,2020,10,25,27.5
"Bryson City",2020-10-07,"Swain",35.434767,-83.442133,2020,10,30,29.5
"Bryson City",2020-10-08,"Swain",35.434767,-83.442133,2020,10,22,27
"Bryson City",2020-10-09,"Swain",35.434767,-83.442133,2020,10,16,34
"Bryson City",2020-10-10,"Swain",35.434767,-83.442133,2020,10,18.5,26.5
"Bryson City",2020-10-11,"Swain",35.434767,-83.442133,2020,10,24,35.5
"Bryson City",2020-10-12,"Swain",35.434767,-83.442133,2020,10,24.5,32
"Bryson City",2020-10-13,"Swain",35.434767,-83.442133,2020,10,27,31
"Bryson City",2020-10-14,"Swain",35.434767,-83.442133,2020,10,36,31.5
"Bryson City",2020-10-15,"Swain",35.434767,-83.442133,2020,10,40,28.5
"Bryson City",2020-10-16,"Swain",35.434767,-83.442133,2020,10,28,27.5
"Bryson City",2020-10-17,"Swain",35.434767,-83.442133,2020,10,21.5,30
"Bryson City",2020-10-18,"Swain",35.434767,-83.442133,2020,10,21,31.5
